sub-ID roi-ID volOverlap volFSroi quotient
1045 MNIbin_lh-bankssts.nii.gz 0 2773 0
1046 MNIbin_lh-bankssts.nii.gz 0 2773 0
1047 MNIbin_lh-bankssts.nii.gz 0 2773 0
1048 MNIbin_lh-bankssts.nii.gz 0 2773 0
1049 MNIbin_lh-bankssts.nii.gz 8 2773 0.00288496
1050 MNIbin_lh-bankssts.nii.gz 0 2773 0
1051 MNIbin_lh-bankssts.nii.gz 0 2773 0
1052 MNIbin_lh-bankssts.nii.gz 0 2773 0
1053 MNIbin_lh-bankssts.nii.gz 0 2773 0
1054 MNIbin_lh-bankssts.nii.gz 0 2773 0
1055 MNIbin_lh-bankssts.nii.gz 0 2773 0
1056 MNIbin_lh-bankssts.nii.gz 0 2773 0
1057 MNIbin_lh-bankssts.nii.gz 803 2773 0.289578
1058 MNIbin_lh-bankssts.nii.gz 0 2773 0
1059 MNIbin_lh-bankssts.nii.gz 117 2773 0.0421926
1060 MNIbin_lh-bankssts.nii.gz 0 2773 0
1002 MNIbin_lh-caudalanteriorcingulate.nii.gz 0 1875 0
1003 MNIbin_lh-caudalanteriorcingulate.nii.gz 0 1875 0
1004 MNIbin_lh-caudalanteriorcingulate.nii.gz 0 1875 0
1005 MNIbin_lh-caudalanteriorcingulate.nii.gz 0 1875 0
1006 MNIbin_lh-caudalanteriorcingulate.nii.gz 0 1875 0
1007 MNIbin_lh-caudalanteriorcingulate.nii.gz 0 1875 0
1008 MNIbin_lh-caudalanteriorcingulate.nii.gz 0 1875 0
1009 MNIbin_lh-caudalanteriorcingulate.nii.gz 0 1875 0
1010 MNIbin_lh-caudalanteriorcingulate.nii.gz 0 1875 0
1011 MNIbin_lh-caudalanteriorcingulate.nii.gz 0 1875 0
1012 MNIbin_lh-caudalanteriorcingulate.nii.gz 0 1875 0
1013 MNIbin_lh-caudalanteriorcingulate.nii.gz 0 1875 0
1014 MNIbin_lh-caudalanteriorcingulate.nii.gz 0 1875 0
1015 MNIbin_lh-caudalanteriorcingulate.nii.gz 0 1875 0
1016 MNIbin_lh-caudalanteriorcingulate.nii.gz 0 1875 0
1017 MNIbin_lh-caudalanteriorcingulate.nii.gz 0 1875 0
1018 MNIbin_lh-caudalanteriorcingulate.nii.gz 0 1875 0
1019 MNIbin_lh-caudalanteriorcingulate.nii.gz 0 1875 0
1020 MNIbin_lh-caudalanteriorcingulate.nii.gz 0 1875 0
1021 MNIbin_lh-caudalanteriorcingulate.nii.gz 0 1875 0
1022 MNIbin_lh-caudalanteriorcingulate.nii.gz 0 1875 0
1023 MNIbin_lh-caudalanteriorcingulate.nii.gz 0 1875 0
1024 MNIbin_lh-caudalanteriorcingulate.nii.gz 0 1875 0
1025 MNIbin_lh-caudalanteriorcingulate.nii.gz 0 1875 0
1026 MNIbin_lh-caudalanteriorcingulate.nii.gz 0 1875 0
1027 MNIbin_lh-caudalanteriorcingulate.nii.gz 0 1875 0
1028 MNIbin_lh-caudalanteriorcingulate.nii.gz 0 1875 0
1029 MNIbin_lh-caudalanteriorcingulate.nii.gz 0 1875 0
1030 MNIbin_lh-caudalanteriorcingulate.nii.gz 0 1875 0
1031 MNIbin_lh-caudalanteriorcingulate.nii.gz 0 1875 0
1032 MNIbin_lh-caudalanteriorcingulate.nii.gz 0 1875 0
1033 MNIbin_lh-caudalanteriorcingulate.nii.gz 0 1875 0
