subjID,Region,ChaCo_mean,ChaCo_std
1023,5,0,0
1024,5,0,0
1025,5,0,0
1027,5,0,0
1029,5,0,0
1030,5,0,0
1031,5,0,0
1032,5,0,0
1033,5,0,0
1034,5,0,0
1035,5,0,0
1036,5,0,0
1037,5,0.12077,0.033016
1039,5,0,0
1040,5,6.0024e-05,6.0024e-05
1041,5,0,0
1042,5,0,0
1043,5,0,0
1044,5,0,0
1045,5,0,0
1046,5,0,0
1047,5,0.0012584,0.0011384
1048,5,0,0
1049,5,0,0
1050,5,0,0
1051,5,0,0
1053,5,0,0
1054,5,6.0024e-05,6.0024e-05
1055,5,0.00033289,0.00033289
1056,5,0,0
1057,5,0.086843,0.034646
1058,5,0,0
1060,5,0,0
1003,6,0.41611,0.028921
1004,6,0.00015038,0.00013671
1006,6,0,0
1007,6,0,0
1008,6,0.0065088,0.0030996
1009,6,0,0
1010,6,0.00010636,1.6647e-05
1011,6,0,0
1013,6,0,0
1014,6,0.014338,0.0015443
1015,6,0.093768,0.020973
1016,6,2.9473e-05,1.153e-05
1017,6,0.0018399,0.00058244
1019,6,0,0
1020,6,0,0
1022,6,0,0
1023,6,6.8339e-06,6.8339e-06
1024,6,0,0
1025,6,8.9715e-06,8.9715e-06
1027,6,0,0
1029,6,6.1084e-05,7.2548e-06
1030,6,0,0
1031,6,6.8339e-06,6.8339e-06
1032,6,0,0
1033,6,0.00019093,0.0001371
1034,6,0,0
1035,6,0.0027623,0.0012013
1036,6,3.3748e-05,2.0081e-05
1037,6,0.23238,0.0035142
1039,6,0,0
1040,6,7.4752e-05,2.0923e-05
1041,6,0,0
1042,6,0,0
1043,6,0,0
1044,6,0,0
1045,6,0,0
1046,6,0,0
1047,6,0.00031481,8.1553e-05
1048,6,0.14938,0.028495
1049,6,0.0014221,0.00024664
1050,6,0,0
1051,6,0.0050357,0.0011421
1053,6,0.0022998,0.00014668
1054,6,0.053708,0.011829
1055,6,0.018201,0.0016579
1056,6,0,0
1057,6,0.089829,0.0065014
1058,6,0,0
1060,6,0,0
1003,7,0.24027,0.0089934
1004,7,0.0029355,0.00028077
1006,7,0.00013612,8.2511e-05
1007,7,0,0
1008,7,0.37218,0.042298
1009,7,0,0
1010,7,0.0040473,0.00045554
1011,7,0.00037944,5.7812e-05
1013,7,0,0
1014,7,0.46288,0.0016075
1015,7,0.0088117,0.0019093
1016,7,0.0011446,0.00082301
1017,7,0.043166,0.029736
1019,7,0,0
1020,7,0,0
1022,7,0,0
1023,7,0.001832,0.0011351
1024,7,0.00068966,0.00015361
