subjID,Region,ChaCo_mean,ChaCo_std
1041.0000000000,1.0000000000,0.0000239798,0.0000387059
1042.0000000000,1.0000000000,0.0000000000,0.0000000000
1043.0000000000,1.0000000000,0.0000000000,0.0000000000
1044.0000000000,1.0000000000,0.0000000000,0.0000000000
1045.0000000000,1.0000000000,0.0028595803,0.0020518567
1046.0000000000,1.0000000000,0.0000000000,0.0000000000
1047.0000000000,1.0000000000,0.0024882991,0.0014133520
1048.0000000000,1.0000000000,0.8276829348,0.0535087952
1049.0000000000,1.0000000000,0.0094790960,0.0037814916
1050.0000000000,1.0000000000,0.0034061728,0.0066783555
1051.0000000000,1.0000000000,0.2498923425,0.1165152774
1052.0000000000,1.0000000000,0.0000000000,0.0000000000
1053.0000000000,1.0000000000,0.5396003372,0.1313699638
1054.0000000000,1.0000000000,0.8486305102,0.0679212959
1055.0000000000,1.0000000000,0.7953265094,0.0792185788
1056.0000000000,1.0000000000,0.0000000000,0.0000000000
1057.0000000000,1.0000000000,0.2074264009,0.0999658523
1058.0000000000,1.0000000000,0.0000010962,0.0000093663
1059.0000000000,1.0000000000,0.4104569618,0.1026142910
1060.0000000000,1.0000000000,0.0002962037,0.0002837555
1002.0000000000,2.0000000000,0.0000000000,0.0000000000
1003.0000000000,2.0000000000,0.0003537271,0.0006915734
1004.0000000000,2.0000000000,0.0016161058,0.0011367621
1005.0000000000,2.0000000000,0.0000000000,0.0000000000
1006.0000000000,2.0000000000,0.0005567689,0.0004343954
1007.0000000000,2.0000000000,0.0000077873,0.0000355936
1008.0000000000,2.0000000000,0.0151996447,0.0057897069
1009.0000000000,2.0000000000,0.0000000000,0.0000000000
1010.0000000000,2.0000000000,0.0000376619,0.0000733167
1011.0000000000,2.0000000000,0.0000000000,0.0000000000
1012.0000000000,2.0000000000,0.0000000000,0.0000000000
1013.0000000000,2.0000000000,0.0000000000,0.0000000000
1014.0000000000,2.0000000000,0.0031175692,0.0019298414
1015.0000000000,2.0000000000,0.0000012965,0.0000110771
1016.0000000000,2.0000000000,0.0086482379,0.0047980317
1017.0000000000,2.0000000000,0.0008136697,0.0006657710
1018.0000000000,2.0000000000,0.0000000000,0.0000000000
1019.0000000000,2.0000000000,0.0477949963,0.0206622310
1020.0000000000,2.0000000000,0.0000000000,0.0000000000
1021.0000000000,2.0000000000,0.0000000000,0.0000000000
1022.0000000000,2.0000000000,0.0000000000,0.0000000000
1023.0000000000,2.0000000000,0.0000038093,0.0000190600
1024.0000000000,2.0000000000,0.0006169453,0.0005854026
