sub-ID roi-ID volOverlap volAALroi quotient
1012 010 0 8021 0
1013 010 0 8021 0
1014 010 0 8021 0
1015 010 0 8021 0
1016 010 0 8021 0
1017 010 0 8021 0
1018 010 0 8021 0
1019 010 0 8021 0
1020 010 0 8021 0
1021 010 0 8021 0
1022 010 0 8021 0
1023 010 0 8021 0
1024 010 0 8021 0
1025 010 0 8021 0
1026 010 0 8021 0
1027 010 0 8021 0
1028 010 0 8021 0
1029 010 0 8021 0
1030 010 0 8021 0
1031 010 0 8021 0
1032 010 0 8021 0
1033 010 0 8021 0
1034 010 0 8021 0
1035 010 0 8021 0
1036 010 0 8021 0
1037 010 0 8021 0
1038 010 0 8021 0
1039 010 0 8021 0
1040 010 0 8021 0
1041 010 0 8021 0
1042 010 0 8021 0
1043 010 0 8021 0
1044 010 0 8021 0
1045 010 0 8021 0
1046 010 0 8021 0
1047 010 0 8021 0
1048 010 0 8021 0
1049 010 0 8021 0
1050 010 0 8021 0
1051 010 0 8021 0
1052 010 0 8021 0
1053 010 0 8021 0
1054 010 59 8021 0.00735569
1055 010 0 8021 0
1056 010 0 8021 0
1057 010 0 8021 0
1058 010 0 8021 0
1059 010 0 8021 0
1060 010 0 8021 0
1002 011 0 8024 0
1003 011 0 8024 0
1004 011 0 8024 0
1005 011 0 8024 0
1006 011 0 8024 0
1007 011 0 8024 0
1008 011 0 8024 0
1009 011 0 8024 0
1010 011 0 8024 0
1011 011 0 8024 0
1012 011 0 8024 0
1013 011 0 8024 0
1014 011 0 8024 0
1015 011 0 8024 0
1016 011 0 8024 0
1017 011 287 8024 0.0357677
1018 011 0 8024 0
1019 011 0 8024 0
1020 011 0 8024 0
1021 011 0 8024 0
1022 011 0 8024 0
1023 011 0 8024 0
1024 011 0 8024 0
1025 011 0 8024 0
1026 011 0 8024 0
1027 011 678 8024 0.0844965
1028 011 0 8024 0
1029 011 0 8024 0
1030 011 0 8024 0
1031 011 0 8024 0
1032 011 0 8024 0
1033 011 0 8024 0
1034 011 0 8024 0
1035 011 0 8024 0
1036 011 0 8024 0
1037 011 0 8024 0
1038 011 0 8024 0
1039 011 0 8024 0
1040 011 52 8024 0.00648056
1041 011 0 8024 0
1042 011 0 8024 0
1043 011 0 8024 0
1044 011 0 8024 0
1045 011 39 8024 0.00486042
1046 011 0 8024 0
1047 011 0 8024 0
1048 011 0 8024 0
1049 011 1356 8024 0.168993
1050 011 0 8024 0
1051 011 0 8024 0
